id,place,place_modified,tgn,coords
https://www.harvardartmuseums.org/collections/object/262410,Scene on the Rhine,Rhine,tgn/7012611,
https://collections.ashmolean.org/collection/159596,Study of the Tomb of Can Grande della Scala at Verona,Verona,tgn/7003262,
https://collections.ashmolean.org/collection/176328,"Design for a window in the University Museum, Oxford",tgn/7011931,tgn/7011931,
https://www.harvardartmuseums.org/collections/object/298635,Tower of Fribourg,Fribourg,tgn/7645603,
https://www.harvardartmuseums.org/collections/object/299177,Architectural Study: Palazzo Dandolo,tgn/7018159,tgn/7018159,
https://www.harvardartmuseums.org/collections/object/298766,Venetian Renaissance Capital,Venezia,tgn/7003006,
https://www.harvardartmuseums.org/collections/object/262979,"Capital from the Lower Arcade of the Doges' Palace, Venice",Venezia,tgn/7003006,
https://collections.ashmolean.org/collection/159406,"The Gryphon bearing the north Shaft of the west Entrance of the Duomo, Verona",Verona,tgn/7003262,
https://collections.ashmolean.org/collection/159810,First Process of Sepia Sketch of Leafage: Study from Ruskin's Photograph of the Courtyard of a late Gothic wooden House at Abbeville,Arrondissement d'Abbeville,tgn/7668075,
https://collections.ashmolean.org/collection/203077,"Old Cedar in the Botanic Garden, Chelsea",Chelsea,tgn/4012680,
https://www.harvardartmuseums.org/collections/object/298628,"Study of Portal and Carved Pinnacles, Cathedral of St. Lô, Normandy",Normandy,tgn/7002886,
https://collections.ashmolean.org/collection/141093,Mountain study: view of the Alps,Alps,tgn/7007746,
https://www.harvardartmuseums.org/collections/object/299185,Kempten,Kempten,tgn/7155787,
https://collections.ashmolean.org/collection/159362,Ivy-Leaved Toadflax ('Oxford Ivy'),tgn/7011931,tgn/7011931,
https://collections.ashmolean.org/collection/159417,"Etching of Turner's Drawing of 'Rietz, near Saumur'",Rietz,tgn/8713430,
https://collections.ashmolean.org/collection/159600,"Study for Detail of the Market Place, Abbeville",Arrondissement d'Abbeville,tgn/7668075,
https://collections.ashmolean.org/collection/159591,Evening in Autumn under the Castle of Habsburg,Habsburg,tgn/1100282,
https://collections.ashmolean.org/collection/159712,"Study of the North Gable of the Tomb of Mastino II della Scala, Verona",Verona,tgn/7003262,
https://www.harvardartmuseums.org/collections/object/297456,"Study of an Archivolt in Saint Mark's, Venice",Venezia,tgn/7003006,
https://collections.ashmolean.org/collection/159590,"Afternoon in Spring, with south Wind, at Neuchâtel",Neuchâtel,tgn/7003751,
https://collections.ashmolean.org/collection/159601,"Study for Detail of the Piazza delle Erbe, Verona",Verona,tgn/7003262,
https://collections.ashmolean.org/collection/159477,"Sketch of the Oak Spray in Mantegna's Fresco of 'The Martyrdom of Saint James' in the Church of the Eremitani, Padua",Padua,tgn/7003085,
https://www.nga.gov/collection/72870,The Garden of San Miniato near Florence,Florence,tgn/7000457,
https://www.harvardartmuseums.org/collections/object/298668,Part of a Sketch of the Northwest Porch of St. Mark's,Venezia,tgn/7003006,
http://www.rijksmuseum.nl/nl/collectie/RP-T-1957-335,"Gezicht op S. Anastasia te Verona, over de Adige",Verona,tgn/7003262,
https://collections.ashmolean.org/collection/159660,"Study of the Marble Inlaying on the Front of the Casa Loredan, Venice",Venezia,tgn/7003006,
